comment_1|comment_2
No tengo servicio !? Que es lo que pasa? ladrones|Hola, estamos dispuestos a dejar tu servicio 100/100 y con todo el Power verificar la novedad que nos indicas. Te espero en el interno.
Soluciones más claras a los usuarios :( el servicio es una porqueria|busquemos la mejor solución para ti por nuestro interno para charlar sobre tu decisión y si es posible que sigas más tiempo con nosotros
Estoy sin servicio de datos, de voz, el servicio hogar es más lento de lo normal, abro la app y está para lo único que funciona es para pagar,de resto no sirve nada, que pasa|Hola, entendemos que estés así y te ofrecemos una disculpa. Vamos corriendo con nuestro equipo para revisar y resolver esto lo más rápido. Envíame tus datos y juntos buscaremos una solución.
Buenas tardes, nos pueden indicar por que desde hace varios días el servicio de telefonía y de datos en la ciudad es de mala calidad, está una mierda.|Hola, te hablo por interno para revisar tu caso
Las llamadas presentan mucha interferencia y la conexión a redes sociales o Internet desde el celular es mala.|Hola, ¡Queremos mejorar esa experiencia de servicio!. Te espero por interno para ponernos en contacto y con soluciones a bordo y ver lo que sucede con tu servicio.
Trabajan todos los días para mirar como robar a los usuarios, no me crean imbecil|Hola, quiero conocer más de tu experiencia por nuestro interno para resolver lo que necesites y cambiar tu percepción.
Pero que pesima señal esta semana q paso y hoy va por lo mismo que pasa den una respuesta malditos....|Hola, sabemos que lo podemos mejorar, pásate a nuestro privado y revisamos tu señal para mejorarla cuanto antes y puedas estar conectado 24/7.
@operador @operadorTeAyuda tienen problemas con el servicio?? El Internet está una mierda!!|Hola, de una vez arreglémoslo por interno para que puedas disfrutar al máximo de tu internet 24/7.
Y si en vez de habilitar medios de pago, solucionan el problema que tienen de red? Nos están dejando incomunicados! HDP|¡Hola! que lo podemos mejorar, déjanos brindarte nuestra ayuda por privado para que tu servicio esté funcionando a toda marcha
no sea pendejo el servicio esta de lo peor, llevo menos de un mes con ustedes y ya estoy que solicito retirarlo. A este paso creo que era mejor las 10M que tenia con @otrooperador|Hola, discúlpanos, estamos seguros que se puede solucionar, escríbenos por interno y te demostraremos de qué estamos hechos ¡Vamos a darle Power a tu servicio!
El peor servicio, una porqueria. De datos y al cliente. intento cambiar mi plan y siempre me dicen que el sistema no sirve.. la única opción que dan es salir a los centros de atención a contagiar o ser contagiado, idiotas|Coméntanos detalladamente tú caso indicando el plan que deseas cambiar, si es (internet, telefonía o televisión)  a la espera de tu respuesta, te deseamos buena tarde.
